"Total Electricity Installed Capacity 2002"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2002&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:21:49 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",905,24
,2,"China",364,10
,3,"Japan",266,7
,4,"Russia",214,6
,5,"India",129,3
,6,"Germany",124,3
,7,"France",117,3
,8,"Canada",114,3
,9,"Brazil",81,2
,10,"United Kingdom",77,2
,11,"Italy",77,2
,12,"Spain",60,2
,13,"Korea, South",58,2
,14,"Ukraine",52,1
,15,"Australia",50,1
,16,"Mexico",46,1
,17,"South Africa",42,1
,18,"Taiwan",38,1
,19,"Iran",36,1
,20,"Sweden",32,1
,21,"Turkey",32,1
,22,"Poland",31,1
,23,"Saudi Arabia",28,1
,24,"Norway",28,1
,25,"Argentina",28,1
,26,"Thailand",26,1
,27,"Indonesia",23,1
,28,"Netherlands",21,1
,29,"Venezuela",21,1
,30,"Romania",20,1
,31,"Pakistan",18,0
,32,"Austria",18,0
,33,"Switzerland",17,0
,34,"Egypt",17,0
,35,"Czech Republic",17,0
,36,"Kazakhstan",17,0
,37,"Finland",17,0
,38,"Malaysia",16,0
,39,"Belgium",16,0
,40,"Philippines",15,0
,41,"Colombia",14,0
,42,"Bulgaria",13,0
,43,"Denmark",13,0
,44,"Uzbekistan",12,0
,45,"Hong Kong",12,0
,46,"Greece",12,0
,47,"Portugal",11,0
,48,"Chile",11,0
,49,"Israel",9.9,0
,50,"Korea, North",9.5,0
,51,"Former Serbia and Montenegro",9.3,0
,52,"Kuwait",9.3,0
,53,"United Arab Emirates",9.1,0
,54,"Vietnam",8.7,0
,55,"New Zealand",8.5,0
,56,"Hungary",8.4,0
,57,"Slovakia",7.9,0
,58,"Belarus",7.9,0
,59,"Syria",7.8,0
,60,"Paraguay",7.4,0
,61,"Singapore",7.3,0
,62,"Algeria",6.8,0
,63,"Peru",6,0
,64,"Nigeria",5.9,0
,65,"Lithuania",5.7,0
,66,"Ireland",5.4,0
,67,"Puerto Rico",5.4,0
,68,"Azerbaijan",5.3,0
,69,"Morocco",4.9,0
,70,"Bosnia and Herzegovina",4.8,0
,71,"Libya",4.7,0
,72,"Bangladesh",4.7,0
,73,"Tajikistan",4.4,0
,74,"Georgia",4.4,0
,75,"Cuba",4,0
,76,"Croatia",3.8,0
,77,"Kyrgyzstan",3.8,0
,78,"Ecuador",3.4,0
,79,"Armenia",3.3,0
,80,"Iraq",3.2,0
,81,"Turkmenistan",3.1,0
,82,"Slovenia",3,0
,83,"Dominican Republic",2.9,0
,84,"Tunisia",2.9,0
,85,"Congo (Kinshasa)",2.6,0
,86,"Qatar",2.5,0
,87,"Lebanon",2.5,0
,88,"Bahrain",2.5,0
,89,"Estonia",2.4,0
,90,"Mozambique",2.4,0
,91,"Oman",2.3,0
,92,"Sri Lanka",2.2,0
,93,"Uruguay",2.2,0
,94,"Latvia",2.2,0
,95,"Zimbabwe",2.2,0
,96,"Guatemala",1.9,0
,97,"Costa Rica",1.8,0
,98,"Jordan",1.8,0
,99,"Zambia",1.8,0
,100,"Albania",1.7,0
,101,"Luxembourg",1.6,0
,102,"Ghana",1.6,0
,103,"Iceland",1.5,0
,104,"Trinidad and Tobago",1.5,0
,105,"Macedonia",1.4,0
,106,"Bolivia",1.4,0
,107,"Panama",1.2,0
,108,"Burma (Myanmar)",1.2,0
,109,"Kenya",1.2,0
,110,"Jamaica",1.1,0
,111,"Cote dIvoire (IvoryCoast)",1.1,0
,112,"Cameroon",1.1,0
,113,"Honduras",1.1,0
,114,"El Salvador",1.1,0
,115,"Moldova",1,0
,116,"Cyprus",1,0
,117,"Yemen",1,0
,118,"Tanzania",0.9,0
,119,"Sudan",0.9,0
,120,"Mongolia",0.8,0
,121,"Brunei",0.8,0
,122,"Ethiopia",0.7,0
,123,"Guam",0.7,0
,124,"Mauritius",0.7,0
,125,"Nicaragua",0.7,0
,126,"Laos",0.7,0
,127,"Angola",0.7,0
,128,"Nepal",0.6,0
,129,"Papua New Guinea",0.6,0
,130,"Malta",0.6,0
,131,"Senegal",0.5,0
,132,"Afghanistan",0.5,0
,133,"Guadeloupe",0.5,0
,134,"Reunion",0.5,0
,135,"Bhutan",0.4,0
,136,"Gabon",0.4,0
,137,"Bahamas, The",0.4,0
,138,"Martinique",0.4,0
,139,"Macau",0.4,0
,140,"Namibia",0.4,0
,141,"Suriname",0.4,0
,142,"Guinea",0.3,0
,143,"New Caledonia",0.3,0
,144,"Guyana",0.3,0
,145,"Virgin Islands,  U.S.",0.3,0
,146,"Uganda",0.3,0
,147,"Malawi",0.3,0
,148,"Mali",0.3,0
,149,"Netherlands Antilles",0.2,0
,150,"Haiti",0.2,0
,151,"Fiji",0.2,0
,152,"French Guiana",0.2,0
,153,"Madagascar",0.2,0
,154,"Barbados",0.2,0
,155,"Swaziland",0.2,0
,156,"Burkina Faso",0.2,0
,157,"Bermuda",0.2,0
,158,"Mauritania",0.2,0
,159,"Cambodia",0.2,0
,160,"French Polynesia",0.2,0
,161,"Aruba",0.2,0
,162,"Niger",0.1,0
,163,"Palestinian Territories",0.1,0
,164,"Greenland",0.1,0
,165,"Botswana",0.1,0
,166,"Congo (Brazzaville)",0.1,0
,167,"Djibouti",0.1,0
,168,"Cayman Islands",0.1,0
,--,"Faroe Islands",(s),0
,--,"Seychelles",(s),0
,--,"Cape Verde",(s),0
,--,"Lesotho",(s),0
,--,"Saint Lucia",(s),0
,--,"Belize",(s),0
,--,"Eritrea",(s),0
,--,"Somalia",(s),0
,--,"American Samoa",(s),0
,--,"Benin",(s),0
,--,"Western Sahara",(s),0
,--,"U.S. Pacific Islands",(s),0
,--,"Togo",(s),0
,--,"Burundi",(s),0
,--,"Maldives",(s),0
,--,"Rwanda",(s),0
,--,"Saint Kitts and Nevis",(s),0
,--,"Sierra Leone",(s),0
,--,"Central African Republic",(s),0
,--,"Samoa",(s),0
,--,"Gibraltar",(s),0
,--,"Gambia, The",(s),0
,--,"Grenada",(s),0
,--,"Saint Vincent/Grenadines",(s),0
,--,"Chad",(s),0
,--,"Antigua and Barbuda",(s),0
,--,"Saint Pierre and Miquelon",(s),0
,--,"Dominica",(s),0
,--,"Guinea-Bissau",(s),0
,--,"Vanuatu",(s),0
,--,"Turks and Caicos Islands",(s),0
,--,"Equatorial Guinea",(s),0
,--,"Sao Tome and Principe",(s),0
,--,"Solomon Islands",(s),0
,--,"Tonga",(s),0
,--,"Nauru",(s),0
,--,"Virgin Islands, British",(s),0
,--,"Falkland Islands (Islas Malvinas)",(s),0
,--,"Cook Islands",(s),0
,--,"Comoros",(s),0
,--,"Kiribati",(s),0
,--,"Saint Helena",(s),0
,--,"Liberia",(s),0
,--,"Montserrat",(s),0
,--,"Niue",(s),0
,--,"Antarctica",0,0
,--,"Wake Island",0,0
