"Total Electricity Installed Capacity 1992"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=1992&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:20:52 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",732,26
,2,"Russia",212,7
,3,"Japan",205,7
,4,"China",167,6
,5,"Germany",112,4
,6,"Canada",108,4
,7,"France",105,4
,8,"India",83,3
,9,"United Kingdom",68,2
,10,"Italy",61,2
,11,"Ukraine",54,2
,12,"Brazil",53,2
,13,"Spain",44,2
,14,"Australia",38,1
,15,"South Africa",37,1
,16,"Sweden",33,1
,17,"Mexico",30,1
,18,"Poland",28,1
,19,"Norway",27,1
,20,"Korea, South",23,1
,21,"Romania",22,1
,22,"Taiwan",21,1
,23,"Former Czechoslovakia",21,1
,24,"Iran",20,1
,25,"Saudi Arabia",19,1
,26,"Venezuela",19,1
,27,"Kazakhstan",19,1
,28,"Turkey",19,1
,29,"Argentina",17,1
,30,"Netherlands",17,1
,31,"Switzerland",16,1
,32,"Austria",15,1
,33,"Indonesia",14,0
,34,"Belgium",14,0
,35,"Thailand",13,0
,36,"Finland",12,0
,37,"Egypt",12,0
,38,"Bulgaria",12,0
,39,"Uzbekistan",11,0
,40,"Colombia",11,0
,41,"Korea, North",9.5,0
,42,"Denmark",9.4,0
,43,"Pakistan",9.4,0
,44,"Former Serbia and Montenegro",9.3,0
,45,"Hong Kong",8.9,0
,46,"Greece",8.9,0
,47,"Portugal",8,0
,48,"Belarus",7.2,0
,49,"Hungary",7.1,0
,50,"New Zealand",7.1,0
,51,"Iraq",7.1,0
,52,"Kuwait",7,0
,53,"Philippines",6.9,0
,54,"Malaysia",6.7,0
,55,"Paraguay",6.5,0
,56,"Nigeria",5.9,0
,57,"Israel",5.8,0
,58,"Lithuania",5.6,0
,59,"Algeria",5.4,0
,60,"Chile",5.2,0
,61,"Azerbaijan",5.2,0
,62,"United Arab Emirates",4.8,0
,63,"Libya",4.6,0
,64,"Georgia",4.6,0
,65,"Tajikistan",4.4,0
,66,"Puerto Rico",4.2,0
,67,"Peru",4.2,0
,68,"Singapore",4.1,0
,69,"Cuba",4,0
,70,"Turkmenistan",3.9,0
,71,"Ireland",3.9,0
,72,"Syria",3.6,0
,73,"Kyrgyzstan",3.5,0
,74,"Croatia",3.5,0
,75,"Estonia",3.4,0
,76,"Congo (Kinshasa)",3.1,0
,77,"Bosnia and Herzegovina",3.1,0
,78,"Moldova",3.1,0
,79,"Vietnam",2.9,0
,80,"Armenia",2.8,0
,81,"Bangladesh",2.7,0
,82,"Morocco",2.6,0
,83,"Slovenia",2.5,0
,84,"Mozambique",2.4,0
,85,"Ecuador",2.3,0
,86,"Zimbabwe",2,0
,87,"Latvia",2,0
,88,"Uruguay",2,0
,89,"Albania",1.9,0
,90,"Zambia",1.7,0
,91,"Dominican Republic",1.6,0
,92,"Sri Lanka",1.6,0
,93,"Oman",1.5,0
,94,"Macedonia",1.4,0
,95,"Tunisia",1.4,0
,96,"Luxembourg",1.2,0
,97,"Lebanon",1.2,0
,98,"Ghana",1.2,0
,99,"Cote dIvoire (IvoryCoast)",1.2,0
,100,"Trinidad and Tobago",1.2,0
,101,"Burma (Myanmar)",1.1,0
,101,"Qatar",1.1,0
,103,"Bahrain",1.1,0
,104,"Jordan",1,0
,105,"Costa Rica",1,0
,106,"Iceland",1,0
,107,"Panama",1,0
,108,"Mongolia",0.9,0
,109,"Kenya",0.8,0
,110,"Guatemala",0.8,0
,111,"Jamaica",0.7,0
,112,"Yemen",0.7,0
,113,"Bolivia",0.7,0
,114,"El Salvador",0.6,0
,115,"Cameroon",0.6,0
,116,"Angola",0.6,0
,117,"Honduras",0.6,0
,118,"Cyprus",0.5,0
,119,"Tanzania",0.5,0
,120,"Sudan",0.5,0
,121,"Afghanistan",0.5,0
,122,"Papua New Guinea",0.5,0
,123,"Brunei",0.4,0
,124,"Ethiopia",0.4,0
,125,"Bahamas, The",0.4,0
,126,"Nicaragua",0.4,0
,127,"Bhutan",0.4,0
,128,"Mauritius",0.3,0
,129,"Guadeloupe",0.3,0
,130,"Virgin Islands,  U.S.",0.3,0
,131,"Suriname",0.3,0
,132,"Guam",0.3,0
,133,"Gabon",0.3,0
,134,"Malta",0.3,0
,135,"Reunion",0.3,0
,136,"Nepal",0.3,0
,137,"Macau",0.3,0
,138,"Martinique",0.3,0
,139,"Laos",0.3,0
,140,"New Caledonia",0.3,0
,141,"Namibia",0.2,0
,142,"Senegal",0.2,0
,143,"Madagascar",0.2,0
,144,"Botswana",0.2,0
,145,"Netherlands Antilles",0.2,0
,146,"Fiji",0.2,0
,147,"Guinea",0.2,0
,148,"Malawi",0.2,0
,149,"French Guiana",0.2,0
