"Total Electricity Installed Capacity 2005"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2005&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:22:12 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",978,24
,2,"China",519,13
,3,"Japan",276,7
,4,"Russia",218,5
,5,"India",146,4
,6,"Germany",129,3
,7,"Canada",122,3
,8,"France",116,3
,9,"Brazil",91,2
,10,"Italy",85,2
,11,"United Kingdom",82,2
,12,"Spain",77,2
,13,"Korea, South",66,2
,14,"Ukraine",53,1
,15,"Mexico",52,1
,16,"Australia",51,1
,17,"Iran",44,1
,18,"Taiwan",43,1
,19,"South Africa",42,1
,20,"Turkey",39,1
,21,"Saudi Arabia",34,1
,22,"Sweden",33,1
,23,"Poland",32,1
,24,"Norway",29,1
,25,"Indonesia",29,1
,26,"Argentina",29,1
,27,"Thailand",28,1
,28,"Malaysia",24,1
,29,"Venezuela",22,1
,30,"Netherlands",22,1
,31,"Egypt",21,1
,32,"Pakistan",20,0
,33,"Romania",19,0
,34,"Austria",19,0
,35,"Switzerland",17,0
,36,"Czech Republic",17,0
,37,"Kazakhstan",17,0
,38,"Finland",16,0
,39,"Philippines",16,0
,40,"Belgium",16,0
,41,"United Arab Emirates",16,0
,42,"Colombia",13,0
,43,"Portugal",13,0
,44,"Greece",13,0
,45,"Denmark",13,0
,46,"Bulgaria",13,0
,47,"Chile",13,0
,48,"Uzbekistan",13,0
,49,"Vietnam",12,0
,50,"Hong Kong",12,0
,51,"Kuwait",11,0
,52,"Israel",11,0
,53,"Singapore",9.6,0
,54,"Korea, North",9.5,0
,55,"Iraq",9.3,0
,56,"New Zealand",8.9,0
,57,"Former Serbia and Montenegro",8.7,0
,58,"Hungary",8.5,0
,59,"Slovakia",8.1,0
,60,"Belarus",8,0
,61,"Syria",7.6,0
,62,"Algeria",7.5,0
,63,"Paraguay",7.4,0
,64,"Peru",6.3,0
,65,"Ireland",6.2,0
,66,"Nigeria",5.9,0
,67,"Morocco",5.5,0
,68,"Puerto Rico",5.4,0
,69,"Azerbaijan",5.2,0
,70,"Libya",5.1,0
,71,"Cuba",5,0
,72,"Bosnia and Herzegovina",4.7,0
,73,"Bangladesh",4.7,0
,74,"Lithuania",4.5,0
,75,"Tajikistan",4.4,0
,76,"Georgia",4.3,0
,77,"Croatia",3.9,0
,78,"Kyrgyzstan",3.7,0
,79,"Ecuador",3.6,0
,80,"Tunisia",3.3,0
,81,"Armenia",3.2,0
,82,"Dominican Republic",3.2,0
,83,"Turkmenistan",3.1,0
,84,"Slovenia",3,0
