"Total Electricity Installed Capacity 1986"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=1986&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:20:06 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",663,27
,2,"Former U.S.S.R.",322,13
,3,"Japan",173,7
,4,"Canada",97,4
,5,"Germany, West",95,4
,6,"China",94,4
,7,"France",92,4
,8,"United Kingdom",69,3
,9,"India",57,2
,10,"Italy",55,2
,11,"Brazil",43,2
,12,"Spain",40,2
,13,"Australia",33,1
,14,"Sweden",33,1
,15,"Poland",30,1
,16,"South Africa",27,1
,17,"Norway",25,1
,18,"Mexico",23,1
,19,"Germany, East",22,1
,20,"Former Czechoslovakia",21,1
,21,"Romania",20,1
,22,"Venezuela",19,1
,23,"Former Yugoslavia",18,1
,24,"Korea, South",18,1
,25,"Netherlands",17,1
,26,"Taiwan",17,1
,27,"Switzerland",17,1
,28,"Argentina",17,1
,29,"Austria",16,1
,30,"Saudi Arabia",16,1
,31,"Belgium",14,1
,32,"Iran",13,1
,33,"Finland",12,0
,34,"Egypt",12,0
,35,"Bulgaria",10,0
,36,"Turkey",10,0
,37,"Indonesia",9.8,0
,38,"Korea, North",8.9,0
,39,"Denmark",8.5,0
,40,"Thailand",8,0
,41,"Pakistan",7.5,0
,42,"Greece",7.5,0
,43,"New Zealand",7.2,0
,44,"Colombia",6.9,0
,45,"Hungary",6.6,0
,46,"Portugal",6.5,0
,47,"Iraq",6.1,0
,48,"Philippines",6.1,0
,49,"Hong Kong",6,0
,50,"Kuwait",5.5,0
,51,"Malaysia",4.6,0
,52,"Nigeria",4.6,0
,53,"United Arab Emirates",4.2,0
,54,"Puerto Rico",4.2,0
,55,"Israel",4.1,0
,56,"Chile",4,0
,57,"Peru",3.9,0
,58,"Algeria",3.8,0
,59,"Ireland",3.7,0
,60,"Cuba",3.5,0
,61,"Paraguay",3.4,0
,62,"Singapore",3.4,0
,63,"Syria",3,0
,64,"Libya",2.8,0
,65,"Congo (Kinshasa)",2.5,0
,66,"Morocco",2.2,0
,67,"Ecuador",2,0
,68,"Mozambique",1.8,0
,69,"Vietnam",1.7,0
,70,"Zambia",1.6,0
,71,"Zimbabwe",1.5,0
,72,"Uruguay",1.4,0
,73,"Tunisia",1.4,0
,74,"Oman",1.4,0
,75,"Bangladesh",1.4,0
,76,"Luxembourg",1.2,0
,77,"Ghana",1.2,0
,78,"Cote dIvoire (IvoryCoast)",1.2,0
,79,"Bahrain",1.1,0
,80,"Sri Lanka",1.1,0
,81,"Dominican Republic",1.1,0
,82,"Qatar",1,0
,83,"Trinidad and Tobago",1,0
,84,"Jordan",1,0
,85,"Burma (Myanmar)",1,0
,86,"Iceland",0.9,0
,87,"Panama",0.9,0
,88,"Mongolia",0.9,0
,89,"Lebanon",0.8,0
,90,"Costa Rica",0.8,0
,90,"Guatemala",0.8,0
,92,"Albania",0.8,0
,93,"Jamaica",0.7,0
,94,"Yemen",0.6,0
,95,"Cameroon",0.6,0
,96,"El Salvador",0.6,0
,97,"Angola",0.6,0
,98,"Kenya",0.5,0
,99,"Afghanistan",0.5,0
,100,"Bolivia",0.5,0
,100,"Papua New Guinea",0.5,0
,102,"Sudan",0.5,0
,103,"Tanzania",0.4,0
,104,"Suriname",0.4,0
,105,"Bahamas, The",0.4,0
,106,"New Caledonia",0.4,0
,107,"Cyprus",0.4,0
,108,"Nicaragua",0.4,0
,109,"Liberia",0.3,0
,110,"Virgin Islands,  U.S.",0.3,0
,111,"Gabon",0.3,0
,112,"Brunei",0.3,0
,113,"Honduras",0.3,0
,114,"Mauritius",0.3,0
,115,"Guadeloupe",0.3,0
,116,"Malta",0.3,0
,117,"Ethiopia",0.3,0
,118,"Laos",0.2,0
,119,"Guam",0.2,0
,120,"Madagascar",0.2,0
,121,"Senegal",0.2,0
,122,"Nepal",0.2,0
,123,"Fiji",0.2,0
,123,"Netherlands Antilles",0.2,0
,125,"Bhutan",0.2,0
,126,"Malawi",0.2,0
,127,"Botswana",0.2,0
,128,"Guinea",0.2,0
,129,"Reunion",0.2,0
,130,"Uganda",0.2,0
,131,"Macau",0.2,0
,132,"Haiti",0.1,0
,133,"Bermuda",0.1,0
,134,"Congo (Brazzaville)",0.1,0
,135,"Guyana",0.1,0
,136,"Mauritania",0.1,0
,137,"Barbados",0.1,0
,--,"Martinique",(s),0
,--,"Aruba",(s),0
,--,"French Guiana",(s),0
,--,"Greenland",(s),0
,--,"Mali",(s),0
,--,"Swaziland",(s),0
,--,"Sierra Leone",(s),0
,--,"French Polynesia",(s),0
,--,"Somalia",(s),0
,--,"Faroe Islands",(s),0
,--,"Niger",(s),0
,--,"Burkina Faso",(s),0
,--,"Rwanda",(s),0
,--,"Djibouti",(s),0
,--,"U.S. Pacific Islands",(s),0
,--,"Western Sahara",(s),0
