"Total Electricity Installed Capacity 2003"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2003&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:21:58 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",948,25
,2,"China",398,10
,3,"Japan",269,7
,4,"Russia",215,6
,5,"India",134,3
,6,"Germany",125,3
,7,"Canada",119,3
,8,"France",117,3
,9,"Brazil",84,2
,10,"United Kingdom",79,2
,11,"Italy",78,2
,12,"Spain",72,2
,13,"Korea, South",61,2
,14,"Ukraine",52,1
,15,"Australia",51,1
,16,"Mexico",50,1
,17,"South Africa",42,1
,18,"Iran",40,1
,19,"Taiwan",40,1
,20,"Turkey",36,1
,21,"Sweden",33,1
,22,"Poland",32,1
,23,"Saudi Arabia",30,1
,24,"Argentina",29,1
,25,"Norway",28,1
,26,"Indonesia",27,1
,27,"Thailand",27,1
,28,"Netherlands",21,1
,29,"Venezuela",21,1
,30,"Malaysia",20,1
,31,"Romania",20,1
,32,"Pakistan",19,0
,33,"Austria",18,0
,34,"Switzerland",17,0
,35,"Egypt",17,0
,36,"Czech Republic",17,0
,37,"Kazakhstan",17,0
,38,"Finland",17,0
,39,"Belgium",16,0
,40,"Philippines",15,0
,41,"Colombia",13,0
,42,"Denmark",13,0
,43,"United Arab Emirates",12,0
,44,"Bulgaria",12,0
,45,"Greece",12,0
,46,"Uzbekistan",12,0
,47,"Hong Kong",12,0
,48,"Portugal",12,0
,49,"Chile",11,0
,50,"Israel",10,0
,51,"Kuwait",9.9,0
,52,"Korea, North",9.5,0
,53,"Former Serbia and Montenegro",9.3,0
,54,"Vietnam",9.2,0
,55,"New Zealand",8.6,0
,56,"Hungary",8.2,0
,57,"Slovakia",8,0
,58,"Belarus",8,0
,59,"Syria",7.7,0
,60,"Singapore",7.5,0
,61,"Paraguay",7.4,0
,62,"Algeria",6.8,0
,63,"Peru",6,0
,64,"Nigeria",5.9,0
,65,"Lithuania",5.7,0
,66,"Azerbaijan",5.7,0
,67,"Ireland",5.6,0
,68,"Puerto Rico",5.4,0
,69,"Morocco",4.9,0
,70,"Bosnia and Herzegovina",4.8,0
,71,"Libya",4.7,0
,72,"Bangladesh",4.7,0
,73,"Tajikistan",4.4,0
,74,"Georgia",4.4,0
,75,"Cuba",4,0
,76,"Croatia",3.8,0
,77,"Kyrgyzstan",3.7,0
,78,"Iraq",3.6,0
,79,"Dominican Republic",3.4,0
,80,"Armenia",3.3,0
,81,"Ecuador",3.3,0
,82,"Turkmenistan",3.1,0
,83,"Slovenia",3,0
,84,"Tunisia",3,0
,85,"Oman",2.8,0
,86,"Qatar",2.7,0
,87,"Lebanon",2.7,0
,88,"Bahrain",2.6,0
,89,"Congo (Kinshasa)",2.5,0
,90,"Estonia",2.4,0
,91,"Mozambique",2.4,0
,92,"Sri Lanka",2.2,0
,93,"Uruguay",2.2,0
,94,"Zimbabwe",2.2,0
,95,"Guatemala",2.2,0
,96,"Latvia",2.2,0
,97,"Costa Rica",1.9,0
,98,"Jordan",1.8,0
,99,"Albania",1.8,0
,100,"Zambia",1.8,0
,101,"Ghana",1.7,0
,102,"Luxembourg",1.7,0
,103,"Iceland",1.5,0
,104,"Trinidad and Tobago",1.5,0
,105,"Macedonia",1.5,0
,106,"Panama",1.3,0
,107,"Bolivia",1.3,0
,108,"Kenya",1.2,0
,109,"Burma (Myanmar)",1.2,0
,110,"Jamaica",1.2,0
,111,"Cote dIvoire (IvoryCoast)",1.1,0
,112,"El Salvador",1.1,0
,113,"Cameroon",1.1,0
,114,"Honduras",1.1,0
,115,"Yemen",1,0
,116,"Cyprus",1,0
,117,"Sudan",1,0
,118,"Tanzania",0.9,0
,119,"Brunei",0.9,0
,120,"Mongolia",0.8,0
,121,"Nicaragua",0.8,0
,122,"Ethiopia",0.7,0
,123,"Guam",0.7,0
,124,"Laos",0.7,0
,125,"Mauritius",0.7,0
,126,"Angola",0.7,0
,127,"Papua New Guinea",0.6,0
,128,"Nepal",0.6,0
,129,"Malta",0.6,0
,130,"Afghanistan",0.5,0
