"Total Electricity Installed Capacity 1984"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=1984&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:19:54 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",634,27
,2,"Former U.S.S.R.",306,13
,3,"Japan",164,7
,4,"Canada",93,4
,5,"Germany, West",90,4
,6,"France",84,4
,7,"China",80,3
,8,"United Kingdom",70,3
,9,"Italy",53,2
,10,"India",49,2
,11,"Brazil",40,2
,12,"Spain",37,2
,13,"Australia",31,1
,14,"Sweden",31,1
,15,"Poland",28,1
,16,"South Africa",25,1
,17,"Norway",23,1
,18,"Mexico",22,1
,19,"Germany, East",22,1
,20,"Former Czechoslovakia",20,1
,21,"Romania",19,1
,22,"Former Yugoslavia",17,1
,23,"Netherlands",17,1
,24,"Switzerland",17,1
,25,"Argentina",16,1
,26,"Venezuela",16,1
,27,"Saudi Arabia",15,1
,28,"Austria",15,1
,29,"Taiwan",15,1
,30,"Korea, South",14,1
,31,"Iran",13,1
,32,"Belgium",12,1
,33,"Finland",11,0
,34,"Bulgaria",10,0
,35,"Korea, North",8.7,0
,36,"Turkey",8.4,0
,37,"Denmark",8.1,0
,38,"Indonesia",7.8,0
,39,"Thailand",7.4,0
,40,"Colombia",6.9,0
,41,"New Zealand",6.8,0
,42,"Egypt",6.7,0
,43,"Pakistan",6.6,0
,44,"Greece",6.5,0
,45,"Hungary",6.2,0
,46,"Portugal",5.7,0
,47,"Philippines",5.6,0
,48,"Hong Kong",5.3,0
,49,"Kuwait",5.2,0
,50,"Israel",4.1,0
,51,"Puerto Rico",4.1,0
,52,"Malaysia",4,0
,53,"Chile",4,0
,54,"United Arab Emirates",3.9,0
,55,"Nigeria",3.6,0
,56,"Algeria",3.5,0
,57,"Peru",3.5,0
,58,"Iraq",3.4,0
,59,"Ireland",3.3,0
,60,"Cuba",3.2,0
,61,"Syria",2.9,0
,62,"Singapore",2.7,0
,63,"Congo (Kinshasa)",2.2,0
,64,"Morocco",2.1,0
,65,"Mozambique",1.8,0
,66,"Libya",1.8,0
,67,"Ecuador",1.8,0
,68,"Zambia",1.6,0
,69,"Zimbabwe",1.5,0
,70,"Vietnam",1.5,0
,71,"Tunisia",1.4,0
,72,"Paraguay",1.3,0
,73,"Uruguay",1.3,0
,74,"Bangladesh",1.3,0
,75,"Luxembourg",1.2,0
,76,"Ghana",1.2,0
,77,"Cote dIvoire (IvoryCoast)",1.2,0
,78,"Oman",1.1,0
,79,"Bahrain",1.1,0
,80,"Qatar",1,0
,81,"Trinidad and Tobago",1,0
,82,"Dominican Republic",1,0
,83,"Sri Lanka",0.9,0
,84,"Burma (Myanmar)",0.9,0
,85,"Iceland",0.9,0
,86,"Panama",0.9,0
,87,"Costa Rica",0.8,0
,87,"Lebanon",0.8,0
,89,"Guatemala",0.8,0
,90,"Mongolia",0.8,0
,91,"Jamaica",0.7,0
,92,"Jordan",0.7,0
,93,"Albania",0.7,0
,94,"El Salvador",0.6,0
,95,"Cameroon",0.6,0
,96,"Angola",0.6,0
,97,"Kenya",0.5,0
,98,"Papua New Guinea",0.5,0
,99,"Bolivia",0.5,0
,100,"Afghanistan",0.5,0
,100,"Sudan",0.5,0
,102,"Tanzania",0.4,0
,103,"Yemen",0.4,0
,104,"Suriname",0.4,0
,105,"Bahamas, The",0.4,0
,106,"Cyprus",0.4,0
,107,"New Caledonia",0.4,0
,108,"Nicaragua",0.4,0
,109,"Netherlands Antilles",0.4,0
,110,"Virgin Islands,  U.S.",0.3,0
,111,"Liberia",0.3,0
,112,"Honduras",0.3,0
,113,"Mauritius",0.3,0
,114,"Ethiopia",0.3,0
,115,"Gabon",0.3,0
,116,"Guadeloupe",0.2,0
,117,"Brunei",0.2,0
,118,"Laos",0.2,0
,119,"Guam",0.2,0
,120,"Madagascar",0.2,0
,121,"Senegal",0.2,0
,122,"Fiji",0.2,0
,123,"Malta",0.2,0
,124,"Nepal",0.2,0
,125,"Guinea",0.2,0
,126,"Uganda",0.2,0
,127,"Malawi",0.2,0
,128,"Bermuda",0.1,0
,129,"Reunion",0.1,0
,130,"Macau",0.1,0
,131,"Botswana",0.1,0
,132,"Haiti",0.1,0
,133,"Congo (Brazzaville)",0.1,0
,134,"Guyana",0.1,0
,135,"Mauritania",0.1,0
,--,"Barbados",(s),0
,--,"Greenland",(s),0
