"Total Electricity Installed Capacity 2011"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2011&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:22:50 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"China",1066,20
,2,"United States",1051,20
,3,"Japan",289,5
,4,"India",237,4
,5,"Russia",233,4
,6,"Germany",168,3
,7,"Canada",133,3
,8,"France",125,2
,9,"Italy",119,2
,10,"Brazil",117,2
,11,"Spain",103,2
,12,"United Kingdom",93,2
,13,"Korea, South",85,2
,14,"Iran",70,1
,15,"Australia",63,1
,16,"Mexico",62,1
,17,"Ukraine",54,1
,18,"Turkey",53,1
,19,"Saudi Arabia",51,1
,20,"Taiwan",48,1
,21,"South Africa",44,1
,22,"Indonesia",42,1
,23,"Sweden",35,1
,24,"Thailand",35,1
,25,"Poland",35,1
,26,"Argentina",34,1
,27,"Norway",32,1
,28,"Malaysia",29,1
,29,"Netherlands",28,1
,30,"Egypt",28,1
,31,"Venezuela",27,1
,32,"United Arab Emirates",26,0
,33,"Pakistan",23,0
,34,"Austria",23,0
,35,"Vietnam",22,0
,36,"Romania",20,0
,37,"Belgium",20,0
,38,"Czech Republic",20,0
,39,"Portugal",20,0
,40,"Kazakhstan",19,0
,41,"Switzerland",18,0
,42,"Chile",18,0
,43,"Philippines",17,0
,44,"Greece",17,0
,45,"Finland",16,0
,46,"Kuwait",15,0
,47,"Colombia",15,0
,48,"Iraq",14,0
,49,"Israel",14,0
,50,"Denmark",14,0
,51,"Hong Kong",13,0
,52,"Uzbekistan",12,0
,53,"Algeria",11,0
,54,"Bulgaria",10,0
,55,"Singapore",9.8,0
,56,"New Zealand",9.6,0
,57,"Hungary",9.5,0
,58,"Korea, North",9.5,0
,59,"Nigeria",8.9,0
,60,"Libya",8.9,0
,61,"Paraguay",8.8,0
,62,"Peru",8.6,0
,63,"Ireland",8.6,0
,64,"Belarus",8.5,0
,65,"Slovakia",8.2,0
,66,"Syria",8.2,0
,67,"Qatar",7.9,0
,68,"Serbia",7.1,0
,69,"Bangladesh",6.7,0
,70,"Cuba",6.5,0
,71,"Morocco",6.4,0
,72,"Azerbaijan",6.4,0
,73,"Puerto Rico",6.1,0
,74,"Ecuador",5.3,0
,75,"Tajikistan",5.2,0
,76,"Oman",4.9,0
,77,"Bosnia and Herzegovina",4.5,0
,78,"Tunisia",4.2,0
,79,"Georgia",4.2,0
,80,"Croatia",4.2,0
,81,"Kyrgyzstan",3.8,0
,82,"Lithuania",3.7,0
,83,"Burma (Myanmar)",3.6,0
,84,"Armenia",3.5,0
,85,"Jordan",3.4,0
,86,"Slovenia",3.3,0
,87,"Turkmenistan",3.2,0
,88,"Sri Lanka",3.2,0
,89,"Bahrain",3.2,0
,90,"Dominican Republic",3,0
,91,"Uruguay",3,0
,92,"Guatemala",3,0
,93,"Costa Rica",2.9,0
,94,"Estonia",2.8,0
,95,"Sudan",2.8,0
,96,"Iceland",2.7,0
,97,"Laos",2.6,0
,98,"Latvia",2.6,0
,99,"Congo (Kinshasa)",2.5,0
,100,"Mozambique",2.4,0
,101,"Panama",2.4,0
,102,"Trinidad and Tobago",2.3,0
,103,"Lebanon",2.3,0
,104,"Ethiopia",2.2,0
,105,"Ghana",2.2,0
,106,"Zimbabwe",2.1,0
,107,"Zambia",2,0
,108,"Honduras",1.8,0
,109,"Bolivia",1.8,0
,110,"Cyprus",1.7,0
,111,"Luxembourg",1.7,0
,112,"Kenya",1.7,0
,113,"Macedonia",1.6,0
,114,"El Salvador",1.6,0
,115,"Angola",1.6,0
,116,"Yemen",1.5,0
,117,"Kosovo",1.5,0
,118,"Albania",1.5,0
,119,"Bhutan",1.5,0
,120,"Cote dIvoire (IvoryCoast)",1.4,0
,121,"Cameroon",1.3,0
,122,"Nicaragua",1.2,0
,123,"Tanzania",1.2,0
,124,"Mongolia",0.9,0
,125,"Senegal",0.9,0
,126,"Jamaica",0.9,0
,127,"Montenegro",0.9,0
,128,"Mauritius",0.8,0
,129,"Brunei",0.8,0
,130,"Papua New Guinea",0.8,0
,131,"Reunion",0.8,0
,132,"Nepal",0.7,0
,133,"Uganda",0.7,0
,134,"Bahamas, The",0.6,0
,135,"Malta",0.6,0
,136,"Cambodia",0.6,0
,137,"Afghanistan",0.6,0
,138,"Guam",0.6,0
,139,"Moldova",0.6,0
,140,"Congo (Brazzaville)",0.5,0
,141,"New Caledonia",0.5,0
,142,"Madagascar",0.5,0
,143,"Macau",0.5,0
,144,"Guadeloupe",0.5,0
,145,"Martinique",0.5,0
,146,"Mali",0.5,0
,147,"Gabon",0.4,0
,148,"Suriname",0.4,0
,149,"Namibia",0.4,0
,150,"Guyana",0.4,0
,151,"Guinea",0.4,0
,152,"Aruba",0.3,0
,153,"Virgin Islands,  U.S.",0.3,0
,154,"Malawi",0.3,0
,155,"Mauritania",0.3,0
,156,"Fiji",0.3,0
,157,"French Guiana",0.3,0
,158,"Swaziland",0.3,0
,159,"Burkina Faso",0.3,0
,159,"Haiti",0.3,0
,161,"Netherlands Antilles",0.3,0
,162,"Barbados",0.2,0
,163,"French Polynesia",0.2,0
,164,"Togo",0.2,0
,165,"Belize",0.2,0
,165,"Benin",0.2,0
,167,"Greenland",0.2,0
,168,"Bermuda",0.2,0
,169,"Cayman Islands",0.2,0
,170,"Palestinian Territories",0.1,0
,171,"Eritrea",0.1,0
,172,"Niger",0.1,0
,173,"Cape Verde",0.1,0
,174,"Botswana",0.1,0
,175,"Djibouti",0.1,0
,176,"Faroe Islands",0.1,0
,--,"Rwanda",(s),0
,--,"Antigua and Barbuda",(s),0
,--,"Sierra Leone",(s),0
,--,"Lesotho",(s),0
,--,"Seychelles",(s),0
,--,"Somalia",(s),0
,--,"Maldives",(s),0
,--,"Gambia, The",(s),0
,--,"Saint Lucia",(s),0
,--,"Turks and Caicos Islands",(s),0
,--,"Burundi",(s),0
,--,"Equatorial Guinea",(s),0
,--,"Western Sahara",(s),0
,--,"Saint Kitts and Nevis",(s),0
,--,"U.S. Pacific Islands",(s),0
,--,"Grenada",(s),0
,--,"Saint Vincent/Grenadines",(s),0
,--,"Virgin Islands, British",(s),0
,--,"Central African Republic",(s),0
,--,"Gibraltar",(s),0
,--,"Samoa",(s),0
,--,"American Samoa",(s),0
,--,"Chad",(s),0
,--,"Solomon Islands",(s),0
,--,"Vanuatu",(s),0
,--,"Guinea-Bissau",(s),0
,--,"Saint Pierre and Miquelon",(s),0
,--,"Dominica",(s),0
,--,"Comoros",(s),0
,--,"Liberia",(s),0
,--,"Sao Tome and Principe",(s),0
,--,"Tonga",(s),0
,--,"Falkland Islands (Islas Malvinas)",(s),0
,--,"Cook Islands",(s),0
,--,"Kiribati",(s),0
,--,"Montserrat",(s),0
,--,"Nauru",(s),0
,--,"Saint Helena",(s),0
,--,"Antarctica",(s),0
,--,"Niue",(s),0
,--,"Timor-Leste (East Timor)",0,0
,--,"Wake Island",0,0
