"Total Electricity Installed Capacity 1997"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=1997&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:21:20 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",763,24
,2,"China",256,8
,3,"Japan",240,8
,4,"Russia",205,6
,5,"France",113,4
,6,"Canada",110,3
,7,"Germany",109,3
,8,"India",100,3
,9,"United Kingdom",72,2
,10,"Italy",69,2
,11,"Brazil",61,2
,12,"Ukraine",53,2
,13,"Spain",48,2
,14,"Korea, South",45,1
,15,"Australia",43,1
,16,"South Africa",39,1
,17,"Mexico",37,1
,18,"Sweden",33,1
,19,"Poland",30,1
,20,"Iran",29,1
,21,"Norway",28,1
,22,"Taiwan",25,1
,23,"Romania",23,1
,24,"Turkey",22,1
,25,"Argentina",22,1
,26,"Saudi Arabia",22,1
,27,"Venezuela",22,1
,28,"Thailand",21,1
,29,"Indonesia",20,1
,30,"Netherlands",19,1
,31,"Kazakhstan",17,1
,32,"Switzerland",17,1
,33,"Egypt",17,1
,34,"Austria",15,0
,35,"Czech Republic",15,0
,36,"Pakistan",15,0
,37,"Colombia",15,0
,38,"Finland",15,0
,39,"Belgium",14,0
,40,"Malaysia",14,0
,41,"Bulgaria",12,0
,42,"Uzbekistan",12,0
,43,"Hong Kong",11,0
,44,"Denmark",10,0
,45,"Philippines",10,0
,46,"Former Serbia and Montenegro",9.6,0
,47,"Korea, North",9.5,0
,48,"Greece",9.5,0
,49,"Portugal",9.2,0
,50,"Chile",7.9,0
,51,"Israel",7.9,0
,52,"Slovakia",7.8,0
,53,"Paraguay",7.4,0
,54,"Belarus",7.4,0
,55,"Hungary",7.4,0
,56,"New Zealand",7.4,0
,57,"Iraq",7.2,0
,58,"Kuwait",7,0
,59,"Algeria",6,0
,60,"Nigeria",5.9,0
,61,"Singapore",5.8,0
,62,"United Arab Emirates",5.6,0
,63,"Peru",5,0
,64,"Lithuania",4.9,0
,65,"Vietnam",4.9,0
,66,"Azerbaijan",4.6,0
,66,"Libya",4.6,0
,68,"Syria",4.6,0
,69,"Tajikistan",4.4,0
,70,"Puerto Rico",4.4,0
,71,"Georgia",4.4,0
,72,"Cuba",4.3,0
,73,"Ireland",4.2,0
,74,"Morocco",4,0
,75,"Kyrgyzstan",3.6,0
,76,"Croatia",3.6,0
,77,"Bangladesh",3.3,0
,78,"Ecuador",3.1,0
,79,"Armenia",3,0
,80,"Turkmenistan",2.9,0
,81,"Bosnia and Herzegovina",2.8,0
,82,"Estonia",2.7,0
,83,"Dominican Republic",2.6,0
,84,"Congo (Kinshasa)",2.5,0
,85,"Slovenia",2.5,0
,86,"Mozambique",2.3,0
,87,"Uruguay",2.2,0
,88,"Oman",2.1,0
,89,"Zimbabwe",2.1,0
,90,"Latvia",2.1,0
,91,"Tunisia",2,0
,92,"Sri Lanka",1.7,0
,93,"Zambia",1.7,0
,94,"Albania",1.7,0
,95,"Qatar",1.5,0
,96,"Macedonia",1.5,0
,97,"Burma (Myanmar)",1.4,0
,98,"Costa Rica",1.3,0
,99,"Lebanon",1.3,0
,100,"Jamaica",1.3,0
,101,"Jordan",1.3,0
,102,"Luxembourg",1.3,0
,103,"Trinidad and Tobago",1.3,0
,104,"Cote dIvoire (IvoryCoast)",1.2,0
,105,"Ghana",1.2,0
,106,"Bahrain",1.1,0
,107,"Iceland",1.1,0
,108,"Moldova",1,0
,109,"Bolivia",1,0
,110,"Panama",1,0
,111,"Guatemala",1,0
,112,"Mongolia",0.9,0
,113,"El Salvador",0.9,0
,114,"Cameroon",0.8,0
,114,"Kenya",0.8,0
,116,"Yemen",0.8,0
,117,"Honduras",0.7,0
,118,"Brunei",0.7,0
,119,"Cyprus",0.7,0
,120,"Sudan",0.7,0
,121,"Angola",0.6,0
,122,"Tanzania",0.6,0
,123,"Papua New Guinea",0.5,0
,124,"Afghanistan",0.5,0
,125,"Guam",0.5,0
,126,"Malta",0.5,0
,127,"Reunion",0.4,0
,128,"Laos",0.4,0
,129,"Ethiopia",0.4,0
,130,"Guadeloupe",0.4,0
,131,"Mauritius",0.4,0
,132,"Nicaragua",0.4,0
,133,"Bahamas, The",0.4,0
,134,"Martinique",0.4,0
,135,"Namibia",0.4,0
,136,"Gabon",0.4,0
,137,"Macau",0.4,0
,138,"Bhutan",0.4,0
,139,"Virgin Islands,  U.S.",0.3,0
,140,"Suriname",0.3,0
,141,"Nepal",0.3,0
,142,"Guyana",0.3,0
,143,"New Caledonia",0.3,0
,144,"Uganda",0.3,0
,145,"Malawi",0.2,0
,146,"Senegal",0.2,0
,147,"Madagascar",0.2,0
,148,"Netherlands Antilles",0.2,0
,149,"Botswana",0.2,0
,150,"Fiji",0.2,0
,151,"Guinea",0.2,0
,152,"Barbados",0.2,0
,152,"French Guiana",0.2,0
,154,"Haiti",0.2,0
,155,"Bermuda",0.1,0
,156,"Niger",0.1,0
,157,"French Polynesia",0.1,0
,158,"Swaziland",0.1,0
,159,"Mauritania",0.1,0
,160,"Burkina Faso",0.1,0
,161,"Congo (Brazzaville)",0.1,0
,162,"Aruba",0.1,0
,162,"Mali",0.1,0
,164,"Greenland",0.1,0
,--,"Togo",(s),0
,--,"Cayman Islands",(s),0
,--,"Cambodia",(s),0
,--,"Faroe Islands",(s),0
,--,"Djibouti",(s),0
,--,"Somalia",(s),0
,--,"Lesotho",(s),0
,--,"Sierra Leone",(s),0
,--,"Belize",(s),0
,--,"Eritrea",(s),0
,--,"Saint Lucia",(s),0
,--,"Western Sahara",(s),0
,--,"Burundi",(s),0
,--,"U.S. Pacific Islands",(s),0
,--,"Benin",(s),0
,--,"Central African Republic",(s),0
,--,"Seychelles",(s),0
,--,"Rwanda",(s),0
,--,"Cape Verde",(s),0
,--,"American Samoa",(s),0
,--,"Gibraltar",(s),0
,--,"Chad",(s),0
,--,"Gambia, The",(s),0
,--,"Saint Pierre and Miquelon",(s),0
,--,"Antigua and Barbuda",(s),0
,--,"Grenada",(s),0
,--,"Liberia",(s),0
,--,"Maldives",(s),0
,--,"Samoa",(s),0
,--,"Guinea-Bissau",(s),0
,--,"Dominica",(s),0
,--,"Saint Kitts and Nevis",(s),0
,--,"Saint Vincent/Grenadines",(s),0
,--,"Solomon Islands",(s),0
,--,"Vanuatu",(s),0
,--,"Cook Islands",(s),0
,--,"Nauru",(s),0
,--,"Sao Tome and Principe",(s),0
,--,"Virgin Islands, British",(s),0
,--,"Falkland Islands (Islas Malvinas)",(s),0
,--,"Tonga",(s),0
,--,"Comoros",(s),0
,--,"Equatorial Guinea",(s),0
,--,"Saint Helena",(s),0
,--,"Turks and Caicos Islands",(s),0
,--,"Montserrat",(s),0
,--,"Kiribati",(s),0
,--,"Niue",(s),0
,--,"Antarctica",0,0
,--,"Palestinian Territories",0,0
,--,"Wake Island",0,0
