"Total Electricity Installed Capacity 2001"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2001&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:21:43 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",848,24
,2,"China",345,10
,3,"Japan",262,7
,4,"Russia",206,6
,5,"India",125,4
,6,"Germany",119,3
,7,"France",116,3
,8,"Canada",112,3
,9,"United Kingdom",80,2
,10,"Italy",76,2
,11,"Brazil",75,2
,12,"Korea, South",57,2
,13,"Spain",56,2
,14,"Ukraine",52,1
,15,"Australia",47,1
,16,"Mexico",42,1
,17,"South Africa",42,1
,18,"Taiwan",35,1
,19,"Iran",34,1
,20,"Sweden",34,1
,21,"Poland",31,1
,22,"Turkey",28,1
,23,"Argentina",28,1
,24,"Norway",28,1
,25,"Saudi Arabia",25,1
,26,"Indonesia",23,1
,27,"Thailand",23,1
,28,"Romania",22,1
,29,"Venezuela",21,1
,30,"Netherlands",20,1
,31,"Austria",18,1
,32,"Pakistan",18,1
,33,"Kazakhstan",17,0
,34,"Switzerland",17,0
,35,"Egypt",17,0
,36,"Finland",17,0
,37,"Czech Republic",16,0
,38,"Belgium",16,0
,39,"Malaysia",15,0
,40,"Philippines",14,0
,41,"Colombia",14,0
,42,"Denmark",12,0
,43,"Bulgaria",12,0
,44,"Uzbekistan",12,0
,45,"Hong Kong",12,0
,46,"Greece",11,0
,47,"Portugal",11,0
,48,"Chile",10,0
,49,"Israel",9.7,0
,50,"Former Serbia and Montenegro",9.6,0
,51,"Korea, North",9.5,0
,52,"Kuwait",9.4,0
,53,"United Arab Emirates",8.6,0
,54,"New Zealand",8.5,0
,55,"Vietnam",8.5,0
,56,"Hungary",8.3,0
,57,"Syria",8.3,0
,58,"Slovakia",8.1,0
,59,"Belarus",7.9,0
,60,"Singapore",7.6,0
,61,"Paraguay",7.4,0
,62,"Algeria",6.4,0
,63,"Peru",5.9,0
,64,"Nigeria",5.9,0
,65,"Iraq",5.6,0
,66,"Azerbaijan",5.2,0
,67,"Lithuania",5,0
,68,"Puerto Rico",4.9,0
,69,"Morocco",4.9,0
,70,"Ireland",4.7,0
,71,"Libya",4.6,0
