Country name in IHME,Country name in IFs,IHME Group
Georgia,Georgia,WHO Euro B
Hidalgo,Not in Ifs,Not in Ifs
Serbia,Serbia,WHO Euro B
Andorra,Not in Ifs,Not in Ifs
Guyana,Guyana,WHO Amro B
France,France,WHO Euro A
Low-middle SDI,Not in Ifs,Not in Ifs
Thailand,Thailand,WHO Searo B
South East England,Not in Ifs,Not in Ifs
Denmark,Denmark,WHO Euro A
Iwate,Not in Ifs,Not in Ifs
Puerto Rico,Puerto Rico,WHO Amro A
Low SDI,Not in Ifs,Not in Ifs
East Midlands,Not in Ifs,Not in Ifs
Senegal,Senegal,WHO Afro D
Cameroon,Cameroon,WHO Afro D
Moldova,Moldova,WHO Euro C
Myanmar,Myanmar,WHO Searo D
Burkina Faso,Burkina Faso,WHO Afro D
Saitama,Not in Ifs,Not in Ifs
Bermuda,Not in Ifs,Not in Ifs
Cape Verde,Cape Verde,WHO Afro D
Okinawa,Not in Ifs,Not in Ifs
Federated States of Micronesia,"Micronesia, Fed. Sts.",WHO Wpro B
Chihuahua,Not in Ifs,Not in Ifs
Malawi,Malawi,WHO Afro E
Shizuoka,Not in Ifs,Not in Ifs
Sweden except Stockholm,Not in Ifs,Not in Ifs
Djibouti,Djibouti,WHO Emro D
Mongolia,Mongolia,WHO Wpro B
Hy?go,Not in Ifs,Not in Ifs
East of England,Not in Ifs,Not in Ifs
Distrito Federal,Not in Ifs,Not in Ifs
Estonia,Estonia,WHO Euro C
Poland,Poland,WHO Euro B
Bolivia,Bolivia,WHO Amro D
Argentina,Argentina,WHO Amro B
High-income North America,Not in Ifs,Not in Ifs
Azerbaijan,Azerbaijan,WHO Euro B
Timor-Leste,Timor-Leste,WHO Searo D
Ecuador,Ecuador,WHO Amro D
Tajikistan,Tajikistan,WHO Euro B
Sudan,Sudan,WHO Emro D
Stockholm,Not in Ifs,Not in Ifs
Trinidad and Tobago,Trinidad and Tobago,WHO Amro B
Greater London,Not in Ifs,Not in Ifs
Slovenia,Slovenia,WHO Euro A
Kyrgyzstan,Kyrgyz Republic,WHO Euro B
Shimane,Not in Ifs,Not in Ifs
Chile,Chile,WHO Amro B
México,Not in Ifs,Not in Ifs
Chiba,Not in Ifs,Not in Ifs
Kenya,Kenya,WHO Afro E
Jamaica,Jamaica,WHO Amro B
Michoacán de Ocampo,Not in Ifs,Not in Ifs
Afghanistan,Afghanistan,WHO Emro D
Netherlands,Netherlands,WHO Euro A
Algeria,Algeria,WHO Afro D
Latvia,Latvia,WHO Euro C
England,Not in Ifs,Not in Ifs
Chad,Chad,WHO Afro D
Ukraine,Ukraine,WHO Euro C
Northern Ireland,Not in Ifs,Not in Ifs
Equatorial Guinea,Equatorial Guinea,WHO Afro D
Bangladesh,Bangladesh,WHO Searo D
South Africa,South Africa,WHO Afro E
Kazakhstan,Kazakhstan,WHO Euro C
Australasia,Not in Ifs,Not in Ifs
Nara,Not in Ifs,Not in Ifs
Yamaguchi,Not in Ifs,Not in Ifs
Syria,Syrian Arab Republic,WHO Emro B
Mauritius,Mauritius,WHO Afro D
Greece,Greece,WHO Euro A
Belarus,Belarus,WHO Euro C
Rwanda,Rwanda,WHO Afro E
Vietnam,Vietnam,WHO Wpro B
Canada,Canada,WHO Amro A
Wales,Not in Ifs,Not in Ifs
T?ky?,Not in Ifs,Not in Ifs
Latin America and Caribbean,Not in Ifs,Not in Ifs
High-middle SDI,Not in Ifs,Not in Ifs
Hokkaid?,Not in Ifs,Not in Ifs
Baja California,Not in Ifs,Not in Ifs
Ireland,Ireland,WHO Euro A
Taiwan,"Taiwan, China",WHO Wpro B
Tokushima,Not in Ifs,Not in Ifs
Hiroshima,Not in Ifs,Not in Ifs
India,India,WHO Searo D
Uruguay,Uruguay,WHO Amro B
Nayarit,Not in Ifs,Not in Ifs
Turkmenistan,Turkmenistan,WHO Euro B
Akita,Not in Ifs,Not in Ifs
Ethiopia,Ethiopia,WHO Afro E
Uzbekistan,Uzbekistan,WHO Euro B
United States,United States,WHO Amro A
Cyprus,Cyprus,WHO Euro A
Swaziland,Swaziland,WHO Afro E
Bahrain,Bahrain,WHO Emro B
Israel,Israel,WHO Euro A
Cote d'Ivoire,Cote d'Ivoire,WHO Afro E
Morelos,Not in Ifs,Not in Ifs
Mie,Not in Ifs,Not in Ifs
Oaxaca,Not in Ifs,Not in Ifs
Kanagawa,Not in Ifs,Not in Ifs
Iran,"Iran, Islamic Republic of",WHO Emro B
Peru,Peru,WHO Amro D
Durango,Not in Ifs,Not in Ifs
Guam,Not in Ifs,Not in Ifs
Portugal,Portugal,WHO Euro A
South West England,Not in Ifs,Not in Ifs
South Sudan,Sudan South,WHO Emro D
Ghana,Ghana,WHO Afro D
Mozambique,Mozambique,WHO Afro E
Ehime,Not in Ifs,Not in Ifs
Oceania,Not in Ifs,Not in Ifs
Ishikawa,Not in Ifs,Not in Ifs
